/*
	Description:	Stringtable for Daylight
	Author:			qbt
*/

Language,										English
STR_IMPOUND_OFFICER_DIALOG_NOVEHICLES,			"No vehicles to show."

// License Seller
STR_LICENSE_SELLER_MESSAGE_TITLE,				"Licenses"
STR_LICENSE_SELLER_MESSAGE_PAID,				"You have paid %1%2 and you have received your %3, the money was paid from your %4."
STR_LICENSE_SELLER_MESSAGE_NOMONEY,				"You don't have enough money to buy this license."
STR_LICENSE_SELLER_OWNSALLLICENSES,				"You already own these licenses."

// Vehicle shop
STR_VEHICLE_SHOP_MESSAGE_PAID,					"You have paid %1%2 and you have received your %3, the money was paid from your %4."
STR_VEHICLE_SHOP_MESSAGE_NOMONEY,				"You don't have enough money to buy this vehicle."
STR_VEHICLE_SHOP_MESSAGE_BLOCKING,				"There is a vehicle blocking the spawn, vehicle can not be spawned."
STR_VEHICLE_SHOP_MESSAGE_NOTEXTURES,			"No color options to show."
STR_VEHICLE_SHOP_MESSAGE_NOLICENSE,				"You need a %1 to buy this vehicle."

// Paycheck
STR_PAYCHECK_MESSAGE_TITLE,						"Paycheck"
STR_PAYCHECK_MESSAGE_RECEIVED,					"You have received your paycheck of %1%2, you currently have %3%2 in your bank account.<br/><br/>Your next paycheck will be paid in %4 minutes."

// Fishing
STR_FISHING_TITLE,								"Fishing"
STR_FISHING_TEXT,								"<img image=""daylight\gfx\dialogs\tutorial_fish.paa"" color=""#ffffff"" size=""10"" shadow=""0"" /><br/>You are now fishing, wait until you catch a fish and respond quickly by pressing <t underline=""1"">Mouse #1</t>."
STR_FISHING_ERROR,								"In order to fish, you need to be in a boat, away from the coast and with the engine turned off."

// Building
STR_BUILDING_TITLE,								"Building"
STR_BUILDING_TEXT,								"<img image=""daylight\gfx\dialogs\tutorial_build.paa"" color=""#ffffff"" size=""10"" shadow=""0"" /><br/><t size=""1.25""><t align=""left"">%1</t><t align=""right"">%2</t><br/><br/><t size=""1.25""><t align=""left"">Mouse / Keyboard</t><t align=""right"">Action</t></t><br/><t align=""left"">#1</t><t align=""right"">Place item</t><br/><t align=""left"">#2</t><t align=""right"">Cancel</t></br><br/><t align=""left"">#3</t><t align=""right"">Change placement mode</t></br><br/><t align=""left"">X</t><t align=""right"">Toggle align to ground</t>"
STR_BUILDING_TOOCLOSE,							"You cant build here, you are too close to a vehicle or a building restricted zone."

// Tool
STR_TOOL_TEXT,									"<img image=""daylight\gfx\dialogs\tutorial_use.paa"" color=""#ffffff"" size=""10"" shadow=""0"" /><br/>You are now using a %1.<br/><br/>Use tool by pressing <t underline=""1"">Mouse #1</t>.<br/>Cancel by pressing <t underline=""1"">Mouse #2</t>."
STR_TOOL_ERROR,									"You are too far away from a location where you can use this tool."

// Lockpick
STR_LOCKPICK_TITLE,								"Lockpick"
STR_LOCKPICK_ERROR,								"You must be looking at a vehicle or a bank vault to use the lockpick."
STR_LOCKPICK_BANKRECENTLYROBBED,				"The bank has been recently robbed, you must wait before it can be robbed it again."
STR_LOCKPICK_NEEDWEAPON,						"You need a weapon in order to rob the bank."

// Processing
STR_PROCESSING_FINISHED,						"You processed your items and received %1x %2."
STR_PROCESSING_NOTENOUGH,						"You don't have enough items to process."

// Shout
STR_SHOUT,										"** (Shout) %1: %2"

// Keychain
STR_KEYREMOVED,									"** %1 permanently destroyed the keys for %2."

// Phone
STR_PHONE_TITLE,								"Mobile phone"
STR_PHONE_MESSAGERECEIVED,						"You've got a text message from %1."

// Police menu
STR_POLICE_MENU_SETWANTED_INFORMATION,			"You are about to set %1 wanted.<br/><br/><t color=""#ff0000"">Do not want players without a valid reason.</t>"
STR_POLICE_MENU_SETUNWANTED_INFORMATION,		"You are about to set %1 unwanted.<br/><br/><t color=""#ff0000"">Do not unwant players without a valid reason.</t>"
STR_POLICE_MENU_RELEASEFROMJAIL_INFORMATION,	"You are about to release %1 from jail.<br/><br/><t color=""#ff0000"">Do not release players without a valid reason.</t>"

// Gas station
STR_GAS_STATION_TITLE,							"Gas Station"
STR_GAS_STATION_ROBBED,							"You have robbed the gas station, you received %1%2."
STR_GAS_STATION_COOLDOWN,						"This gas station has recently been robbed, there is nothing to rob."

// President menu
STR_PRESIDENTMENU_TITLE,						"President Menu"
STR_PRESIDENTMENU_ERROR,						"You need to be the president of Altis in order to use the president menu."

// President voting
STR_PRESIDENTVOTING_TITLE,						"Voting"
STR_PRESIDENTVOTING_VOTED,						"You have voted for %1."
STR_PRESIDENTVOTING_NOVOTING,					"There is no active voting going on."
STR_PRESIDENTVOTING_ALREADYVOTED,				"You have already voted."

// Gangs
STR_GANGMENU_TITLE,								"Gang Menu"
STR_GANGMENU_CREATED,							"You have paid %1%2 and created a gang called %3. The money was paid from your %4."
STR_GANGMENU_NOMONEY,							"You don't have enough money to create a gang."
STR_GANGMENU_JOINED,							"You have successfully joined %1."
STR_GANGMENU_LEFT,								"You have successfully left %1."
STR_GANGMENU_KICK,								"You have successfully kicked %1."
STR_GANGMENU_KICKED,							"You were kicked from %1 by %2."
STR_GANGMENU_LOCKED,							"You have locked %1."
STR_GANGMENU_UNLOCKED,							"You have unlocked %1."
STR_GANGMENU_EXISTS,							"A gang with this name already exists."

STR_GANGAREA_TITLE,								"Gang Area"
STR_GANGAREA_NOGANG,							"You need to be in a gang to capture or neutralize a gang area."
STR_GANGAREA_NOWEAPON,							"You need a weapon to capture or neutralize a gang area."
STR_GANGAREA_ALREADYCAPTURED,					"Your gang has already captured this area."

// Item used on vehicles
STR_ITEM_VEHICLE_ERROR,							"You must be looking at a vehicle in order to use this item."

// Wrecking yard
STR_WRECKING_YARD_TITLE,						"Wrecking yard"
STR_WRECKNG_YARD_SOLD,							"You sold your vehicle and got %1%2."

// Example item
STR_ITEM_10000,									"€"
STR_ITEM_10000_DESC,							"Money used for trading."
STR_ITEM_10000_SCRIPT,							""
STR_ITEM_10000_WEIGHT,							"0.00001"

STR_ITEM_10001, "Euros"
STR_ITEM_10001_DESC, "Money used for trading."
STR_ITEM_10001_SCRIPT, ""
STR_ITEM_10001_WEIGHT, "0.00001"
STR_ITEM_10001_PRICE, ""


STR_ITEM_20001, "Test item 1"
STR_ITEM_20001_DESC, "Description"
STR_ITEM_20001_SCRIPT, ""
STR_ITEM_20001_WEIGHT, "0.25"
STR_ITEM_20001_PRICE, ""
STR_ITEM_20002, "Handful of olives"
STR_ITEM_20002_DESC, "The grapes can be eaten, or you can make wine."
STR_ITEM_20002_SCRIPT, "itemFood.sqf"
STR_ITEM_20002_WEIGHT, "0.1"
STR_ITEM_20002_PRICE, "32"
STR_ITEM_20003, "Tomato"
STR_ITEM_20003_DESC, "Used as raw material for many foods."
STR_ITEM_20003_SCRIPT, "itemFood.sqf"
STR_ITEM_20003_WEIGHT, "0.5"
STR_ITEM_20003_PRICE, "85"
STR_ITEM_20004, "Bunch of grapes"
STR_ITEM_20004_DESC, ""
STR_ITEM_20004_SCRIPT, "itemFood.sqf"
STR_ITEM_20004_WEIGHT, "0.2"
STR_ITEM_20004_PRICE, "50"
STR_ITEM_20005, "Oregano"
STR_ITEM_20005_DESC, "Popular spice used in many foods."
STR_ITEM_20005_SCRIPT, "itemFood.sqf"
STR_ITEM_20005_WEIGHT, "0.1"
STR_ITEM_20005_PRICE, "15"
STR_ITEM_20006, "Bread"
STR_ITEM_20006_DESC, "Fresh, generic bread."
STR_ITEM_20006_SCRIPT, "itemFood.sqf"
STR_ITEM_20006_WEIGHT, "0.5"
STR_ITEM_20006_PRICE, "2850"
STR_ITEM_20007, "Greek bread"
STR_ITEM_20007_DESC, "Tasty, still slightly warm locally baked bread."
STR_ITEM_20007_SCRIPT, "itemFood.sqf"
STR_ITEM_20007_WEIGHT, "0.5"
STR_ITEM_20007_PRICE, "4750"
STR_ITEM_20008, "Sardin"
STR_ITEM_20008_DESC, "Fresh fish straight from the Mediterranean sea."
STR_ITEM_20008_SCRIPT, "itemFood.sqf"
STR_ITEM_20008_WEIGHT, "0.5"
STR_ITEM_20008_PRICE, "680"
STR_ITEM_20009, "Perch"
STR_ITEM_20009_DESC, "Fresh fish straight from the Mediterranean sea."
STR_ITEM_20009_SCRIPT, "itemFood.sqf"
STR_ITEM_20009_WEIGHT, "0.5"
STR_ITEM_20009_PRICE, "750"
STR_ITEM_20010, "Squid"
STR_ITEM_20010_DESC, "Steamed or boiled squid are Mediterranean delicacies."
STR_ITEM_20010_SCRIPT, "itemFood.sqf"
STR_ITEM_20010_WEIGHT, "1"
STR_ITEM_20010_PRICE, "850"
STR_ITEM_20011, "Bottle of Wine"
STR_ITEM_20011_DESC, ""
STR_ITEM_20011_SCRIPT, "itemWine.sqf"
STR_ITEM_20011_WEIGHT, "1"
STR_ITEM_20011_PRICE, ""


STR_ITEM_30001, "Oil"
STR_ITEM_30001_DESC, ""
STR_ITEM_30001_SCRIPT, ""
STR_ITEM_30001_WEIGHT, "1"
STR_ITEM_30001_PRICE, ""
STR_ITEM_30002, "Oil Barrel"
STR_ITEM_30002_DESC, ""
STR_ITEM_30002_SCRIPT, ""
STR_ITEM_30002_WEIGHT, "10"
STR_ITEM_30002_PRICE, "6500"
STR_ITEM_30004, "Gold ore"
STR_ITEM_30004_DESC, ""
STR_ITEM_30004_SCRIPT, ""
STR_ITEM_30004_WEIGHT, "2"
STR_ITEM_30004_PRICE, ""
STR_ITEM_30005, "Gold bar"
STR_ITEM_30005_DESC, ""
STR_ITEM_30005_SCRIPT, ""
STR_ITEM_30005_WEIGHT, "30"
STR_ITEM_30005_PRICE, "54500"
STR_ITEM_30006, "Iron ore"
STR_ITEM_30006_DESC, ""
STR_ITEM_30006_SCRIPT, ""
STR_ITEM_30006_WEIGHT, "2"
STR_ITEM_30006_PRICE, ""
STR_ITEM_30007, "Iron bar"
STR_ITEM_30007_DESC, ""
STR_ITEM_30007_SCRIPT, ""
STR_ITEM_30007_WEIGHT, "10"
STR_ITEM_30007_PRICE, "12000"
STR_ITEM_30008, "Steel"
STR_ITEM_30008_DESC, ""
STR_ITEM_30008_SCRIPT, ""
STR_ITEM_30008_WEIGHT, "30"
STR_ITEM_30008_PRICE, "54500"
STR_ITEM_30009, "Wheat"
STR_ITEM_30009_DESC, ""
STR_ITEM_30009_SCRIPT, ""
STR_ITEM_30009_WEIGHT, "1"
STR_ITEM_30009_PRICE, ""
STR_ITEM_30010, "Flour sack"
STR_ITEM_30010_DESC, ""
STR_ITEM_30010_SCRIPT, ""
STR_ITEM_30010_WEIGHT, "5"
STR_ITEM_30010_PRICE, ""


STR_ITEM_40001, "Motorboat"
STR_ITEM_40001_DESC, ""
STR_ITEM_40001_SCRIPT, ""
STR_ITEM_40001_WEIGHT, ""
STR_ITEM_40001_PRICE, "2500"
STR_ITEM_40002, "Motorboat (Rescue)"
STR_ITEM_40002_DESC, ""
STR_ITEM_40002_SCRIPT, ""
STR_ITEM_40002_WEIGHT, ""
STR_ITEM_40002_PRICE, "2500"
STR_ITEM_40003, "Hatchback"
STR_ITEM_40003_DESC, ""
STR_ITEM_40003_SCRIPT, ""
STR_ITEM_40003_WEIGHT, ""
STR_ITEM_40003_PRICE, "5000"
STR_ITEM_40004, "Hatchback (Sport)"
STR_ITEM_40004_DESC, ""
STR_ITEM_40004_SCRIPT, ""
STR_ITEM_40004_WEIGHT, ""
STR_ITEM_40004_PRICE, "15000"
STR_ITEM_40005, "Offroad"
STR_ITEM_40005_DESC, ""
STR_ITEM_40005_SCRIPT, ""
STR_ITEM_40005_WEIGHT, ""
STR_ITEM_40005_PRICE, "6500"
STR_ITEM_40006, "Quadbike"
STR_ITEM_40006_DESC, ""
STR_ITEM_40006_SCRIPT, ""
STR_ITEM_40006_WEIGHT, ""
STR_ITEM_40006_PRICE, "2500"
STR_ITEM_40007, "SUV"
STR_ITEM_40007_DESC, ""
STR_ITEM_40007_SCRIPT, ""
STR_ITEM_40007_WEIGHT, ""
STR_ITEM_40007_PRICE, "12000"
STR_ITEM_40008, "Truck Boxer"
STR_ITEM_40008_DESC, ""
STR_ITEM_40008_SCRIPT, ""
STR_ITEM_40008_WEIGHT, ""
STR_ITEM_40008_PRICE, "50000"
STR_ITEM_40009, "Truck"
STR_ITEM_40009_DESC, ""
STR_ITEM_40009_SCRIPT, ""
STR_ITEM_40009_WEIGHT, ""
STR_ITEM_40009_PRICE, "50000"
STR_ITEM_40010, "Fuel Truck"
STR_ITEM_40010_DESC, ""
STR_ITEM_40010_SCRIPT, ""
STR_ITEM_40010_WEIGHT, ""
STR_ITEM_40010_PRICE, "50000"
STR_ITEM_40011, "MH-9 Hummingbird"
STR_ITEM_40011_DESC, ""
STR_ITEM_40011_SCRIPT, ""
STR_ITEM_40011_WEIGHT, ""
STR_ITEM_40011_PRICE, "150000"
STR_ITEM_40012, "CH-49 Mohawk"
STR_ITEM_40012_DESC, ""
STR_ITEM_40012_SCRIPT, ""
STR_ITEM_40012_WEIGHT, ""
STR_ITEM_40012_PRICE, "230000"
STR_ITEM_40013, "PO-30 Orca (Black)"
STR_ITEM_40013_DESC, ""
STR_ITEM_40013_SCRIPT, ""
STR_ITEM_40013_WEIGHT, ""
STR_ITEM_40013_PRICE, "230000"


STR_ITEM_50001, "Repair kit (medium)"
STR_ITEM_50001_DESC, "Used to repair cars"
STR_ITEM_50001_SCRIPT, "itemRepairKitMedium.sqf"
STR_ITEM_50001_WEIGHT, "10"
STR_ITEM_50001_PRICE, "2000"
STR_ITEM_50002, "Repair kit (large)"
STR_ITEM_50002_DESC, "Used to repair trucks and helicopters"
STR_ITEM_50002_SCRIPT, "itemRepairKitLarge.sqf"
STR_ITEM_50002_WEIGHT, "20"
STR_ITEM_50002_PRICE, "15000"
STR_ITEM_50003, "Refuel Can"
STR_ITEM_50003_DESC, "Used to refuel vehicles of all types"
STR_ITEM_50003_SCRIPT, "itemRefuelCan.sqf"
STR_ITEM_50003_WEIGHT, "3"
STR_ITEM_50003_PRICE, "1000"
STR_ITEM_50004, "First Aid Kit"
STR_ITEM_50004_DESC, ""
STR_ITEM_50004_SCRIPT, "itemFirstAidKit.sqf"
STR_ITEM_50004_WEIGHT, "1"
STR_ITEM_50004_PRICE, "1000"
STR_ITEM_50005, "Pickaxe"
STR_ITEM_50005_DESC, ""
STR_ITEM_50005_SCRIPT, "itemTool.sqf"
STR_ITEM_50005_WEIGHT, "5"
STR_ITEM_50005_PRICE, "1500"
STR_ITEM_50006, "Fishing Rod"
STR_ITEM_50006_DESC, ""
STR_ITEM_50006_SCRIPT, "itemFishingRod.sqf"
STR_ITEM_50006_WEIGHT, "5"
STR_ITEM_50006_PRICE, "1500"
STR_ITEM_50007, "Garden Shears"
STR_ITEM_50007_DESC, ""
STR_ITEM_50007_SCRIPT, "itemTool.sqf"
STR_ITEM_50007_WEIGHT, "1"
STR_ITEM_50007_PRICE, "1500"
STR_ITEM_50008, "Scythe"
STR_ITEM_50008_DESC, ""
STR_ITEM_50008_SCRIPT, "itemTool.sqf"
STR_ITEM_50008_WEIGHT, "5"
STR_ITEM_50008_PRICE, "1500"
STR_ITEM_50009, "Auger"
STR_ITEM_50009_DESC, ""
STR_ITEM_50009_SCRIPT, "itemTool.sqf"
STR_ITEM_50009_WEIGHT, "10"
STR_ITEM_50009_PRICE, "5500"
STR_ITEM_50010, "Binoculars"
STR_ITEM_50010_DESC, ""
STR_ITEM_50010_SCRIPT, ""
STR_ITEM_50010_WEIGHT, ""
STR_ITEM_50010_PRICE, "1000"
STR_ITEM_50011, "GPS"
STR_ITEM_50011_DESC, ""
STR_ITEM_50011_SCRIPT, ""
STR_ITEM_50011_WEIGHT, ""
STR_ITEM_50011_PRICE, "1000"
STR_ITEM_50012, "Flashlight for weapon"
STR_ITEM_50012_DESC, ""
STR_ITEM_50012_SCRIPT, ""
STR_ITEM_50012_WEIGHT, ""
STR_ITEM_50012_PRICE, "1000"


STR_ITEM_60001, "Road Barrier"
STR_ITEM_60001_DESC, ""
STR_ITEM_60001_SCRIPT, "itemBuildable.sqf"
STR_ITEM_60001_WEIGHT, "5"
STR_ITEM_60001_PRICE, "2500"
STR_ITEM_60002, "Crash Barrier"
STR_ITEM_60002_DESC, ""
STR_ITEM_60002_SCRIPT, "itemBuildable.sqf"
STR_ITEM_60002_WEIGHT, "10"
STR_ITEM_60002_PRICE, "2500"
STR_ITEM_60003, "Razor Wire"
STR_ITEM_60003_DESC, ""
STR_ITEM_60003_SCRIPT, "itemBuildable.sqf"
STR_ITEM_60003_WEIGHT, "10"
STR_ITEM_60003_PRICE, "2500"
STR_ITEM_60004, "Road Barrier"
STR_ITEM_60004_DESC, ""
STR_ITEM_60004_SCRIPT, "itemBuildable.sqf"
STR_ITEM_60004_WEIGHT, "5"
STR_ITEM_60004_PRICE, "2500"
STR_ITEM_60005, "Road Cone"
STR_ITEM_60005_DESC, ""
STR_ITEM_60005_SCRIPT, "itemBuildable.sqf"
STR_ITEM_60005_WEIGHT, "5"
STR_ITEM_60005_PRICE, "2500"
STR_ITEM_60006, "Defusekit"
STR_ITEM_60006_DESC, ""
STR_ITEM_60006_SCRIPT, ""
STR_ITEM_60006_WEIGHT, "1"
STR_ITEM_60006_PRICE, "1000"
STR_ITEM_60007, "Police Motorboat"
STR_ITEM_60007_DESC, ""
STR_ITEM_60007_SCRIPT, ""
STR_ITEM_60007_WEIGHT, ""
STR_ITEM_60007_PRICE, "2500"
STR_ITEM_60008, "Police SUV"
STR_ITEM_60008_DESC, ""
STR_ITEM_60008_SCRIPT, ""
STR_ITEM_60008_WEIGHT, ""
STR_ITEM_60008_PRICE, "12000"
STR_ITEM_60009, "Police Offroad"
STR_ITEM_60009_DESC, ""
STR_ITEM_60009_SCRIPT, ""
STR_ITEM_60009_WEIGHT, ""
STR_ITEM_60009_PRICE, "6000"
STR_ITEM_60010, "Police WY-55 Hellcat"
STR_ITEM_60010_DESC, ""
STR_ITEM_60010_SCRIPT, ""
STR_ITEM_60010_WEIGHT, ""
STR_ITEM_60010_PRICE, "120000"
STR_ITEM_60011, "Bag bunker"
STR_ITEM_60011_DESC, ""
STR_ITEM_60011_SCRIPT, "itemBuildable.sqf"
STR_ITEM_60011_WEIGHT, "20"
STR_ITEM_60011_PRICE, "9500"
STR_ITEM_60012, "Bag fence (long)"
STR_ITEM_60012_DESC, ""
STR_ITEM_60012_SCRIPT, "itemBuildable.sqf"
STR_ITEM_60012_WEIGHT, "15"
STR_ITEM_60012_PRICE, "5500"
STR_ITEM_60013, "Bag fence (round)"
STR_ITEM_60013_DESC, ""
STR_ITEM_60013_SCRIPT, "itemBuildable.sqf"
STR_ITEM_60013_WEIGHT, "15"
STR_ITEM_60013_PRICE, "5500"
STR_ITEM_60014, "Cargo (HQ)"
STR_ITEM_60014_DESC, ""
STR_ITEM_60014_SCRIPT, "itemBuildable.sqf"
STR_ITEM_60014_WEIGHT, "30"
STR_ITEM_60014_PRICE, "100000"
STR_ITEM_60015, "Cargo (house)"
STR_ITEM_60015_DESC, ""
STR_ITEM_60015_SCRIPT, "itemBuildable.sqf"
STR_ITEM_60015_WEIGHT, "30"
STR_ITEM_60015_PRICE, "100000"
STR_ITEM_60016, "Concrete wall"
STR_ITEM_60016_DESC, ""
STR_ITEM_60016_SCRIPT, "itemBuildable.sqf"
STR_ITEM_60016_WEIGHT, "15"
STR_ITEM_60016_PRICE, "5500"
STR_ITEM_60017, "Portable light"
STR_ITEM_60017_DESC, ""
STR_ITEM_60017_SCRIPT, "itemBuildable.sqf"
STR_ITEM_60017_WEIGHT, "5"
STR_ITEM_60017_PRICE, "2500"
STR_ITEM_60018, "Portable generator"
STR_ITEM_60018_DESC, ""
